name,type_code,type,place,district,state,latitude,longitude,source_id,village_id
Kulwandi,PHC,Primary Health Centre,"Pardevi, IGATPURI",Nashik,MAHARASHTRA,19.737609999481325,73.54980000047512,983,183060
Kochargaon,PHC,Primary Health Centre,"Pardevi, IGATPURI",Nashik,MAHARASHTRA,19.737620000509445,73.54980999962254,984,183060
Belhe,PHC,Primary Health Centre,"Dodi Bk., SINNAR",Nashik,MAHARASHTRA,19.746399999481604,74.10367499990804,987,183649
Meshi,PHC,Primary Health Centre,"Bhilwad, DEOLA",Nashik,MAHARASHTRA,20.429989999546148,74.20398999973801,13076,182855
Khed,PHC,Primary Health Centre,"Borli, IGATPURI",Nashik,MAHARASHTRA,19.635680000547275,73.57096000024886,14010,182994
Kumbhale,PHC,Primary Health Centre,"Jamale, PEINT",Nashik,MAHARASHTRA,20.3002499999146,73.49055999988755,14895,183556
Dapur,PHC,Primary Health Centre,"Dodi Bk., SINNAR",Nashik,MAHARASHTRA,19.778040000117034,74.10963000019844,1504,183649
Devpur,PHC,Primary Health Centre,"Dhondvirnagar, SINNAR",Nashik,MAHARASHTRA,19.78897999969682,74.01534000008073,1505,183647
Thangaon,PHC,Primary Health Centre,"Dhondvirnagar, SINNAR",Nashik,MAHARASHTRA,19.789009999877912,74.01537000021796,1506,183647
Pandhurli,PHC,Primary Health Centre,"Agas Khind, SINNAR",Nashik,MAHARASHTRA,19.811950000046554,73.83681000000277,1510,183624
Savargaon,PHC,Primary Health Centre,"Shevgedang, IGATPURI",Nashik,MAHARASHTRA,19.8347999993039,73.54731999991064,1515,183050
Belgaon Kurhe,PHC,Primary Health Centre,"Belgaon Kurhe, IGATPURI",Nashik,MAHARASHTRA,19.838532999941975,73.7183640000612,1516,182987
Wavi,PHC,Primary Health Centre,"Shaha, SINNAR",Nashik,MAHARASHTRA,19.85088999966886,74.26389000064964,1518,183710
Amboli,PHC,Primary Health Centre,"Bhilmal, TRIMBAKESHWAR",Nashik,MAHARASHTRA,19.8854899995412,73.53364000021656,1526,183839
Jategaon,PHC,Primary Health Centre,"Jategaon, NASHIK",Nashik,MAHARASHTRA,19.92368699981426,73.6484699999669,1530,183389
Vaitarana,PHC,Primary Health Centre,"Chandgiri, NASHIK",Nashik,MAHARASHTRA,19.962250000310572,73.86843000001284,1533,183369
Naigaon,PHC,Primary Health Centre,"Chandgiri, NASHIK",Nashik,MAHARASHTRA,19.964199999771697,73.87050000049842,1534,183369
Shinde,PHC,Primary Health Centre,"Chandgiri, NASHIK",Nashik,MAHARASHTRA,19.964199999771697,73.87050000049842,1535,183369
NSKMC Indira Gandhi,PHC,Primary Health Centre,"Torangan, TRIMBAKESHWAR",Nashik,MAHARASHTRA,20.00000000010393,73.47000000016341,1538,183861
NSKMC Nashik,PHC,Primary Health Centre,"Torangan, TRIMBAKESHWAR",Nashik,MAHARASHTRA,20.00000000010393,73.47000000016341,1539,183861
NSKMC Redcross,PHC,Primary Health Centre,"Torangan, TRIMBAKESHWAR",Nashik,MAHARASHTRA,20.00000000010393,73.47000000016341,1540,183861
NSKMC Hirawadi,PHC,Primary Health Centre,"Torangan, TRIMBAKESHWAR",Nashik,MAHARASHTRA,20.00000000010393,73.48000000009215,1541,183861
Andrsul,PHC,Primary Health Centre,"Gondgaon, YEVLA",Nashik,MAHARASHTRA,20.00638000009712,74.62030000052721,1542,183903
Mukhed,PHC,Primary Health Centre,"Mukhed, YEVLA",Nashik,MAHARASHTRA,20.007492500051868,74.32282059989379,1544,183923
NSKMC Gangapur,PHC,Primary Health Centre,"Torangan, TRIMBAKESHWAR",Nashik,MAHARASHTRA,20.010000000002776,73.41999999962138,1546,183861
NSKMC Panchvati,PHC,Primary Health Centre,"Welunje, TRIMBAKESHWAR",Nashik,MAHARASHTRA,20.010000000002776,73.47000000016341,1547,183868
NSKMC Ramwadi,PHC,Primary Health Centre,"Welunje, TRIMBAKESHWAR",Nashik,MAHARASHTRA,20.010000000002776,73.47000000016341,1548,183868
